question,choices,answer,subject,explaination
What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],"['To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints', 'To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints', 'To supply data or analytics from the MFAF to notification endpoints', 'To fetch data or analytics from the MFAF based on fetch instructions']",1,Standards specifications,The Nmfaf_3daDataManagement_Deconfigure service operation is used to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints.
Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection?,"['NOMA', 'PDMA', 'MUSA', 'MUST', 'SCMA']",4,Research publications,The SCMA scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection.
What is the diversity gain for the detection of each symbol in the Alamouti scheme?,"['0', '4', '2', '1']",2,Research publications,The Alamouti scheme provides a diversity gain of 2 for the detection of each symbol.
When are devices required to send the GTS Request command? [IEEE 802.15.4],"['Only devices without a short address', 'Only devices using extended addressing', 'Only devices capable of sending it', 'All devices', 'None of the above']",3,Standards specifications,All devices that have been assigned a short address shall send the GTS Request command.
How does a supporting UE attach to the same core network operator from which it detached in a shared network? [3GPP Release 17],"['It requests the core network node to remember its previous selection.', 'It uses information stored in the UE when it was detached.', 'It relies on the SIM/USIM card for information.', 'It performs a fresh attach procedure.']",1,Standards specifications,A supporting UE in a shared network attaches to the same core network operator it detached from by using information stored in the UE when it was detached.
What are the extreme points of the family of Regenerating Codes?,"['MBR point and MDS point', 'MRB point and MSR point', 'MBR point and MSR point', 'MRB point and MDS point', 'None of the above']",2,Research overview,The extreme points of the family of Regenerating Codes are the MBR (Minimum Bandwidth Regenerating) point and the MSR (Minimum Storage Regenerating) point.
What is the typical coverage range of LPWANs (Low-Power Wide Area Networks) in urban areas?,"['A few meters', '2-5 km', '10-15 km', '50-100 km']",1,Research publications,LPWANs in urban areas typically have a coverage range of 2-5 km.
What is one of the use cases of SDN (Software Defined Networking) in satellite networks?,"['Network Function Virtualization (NFV)', 'Optical transmission management', 'Wireless transport device management', 'All of the above', 'None of the above']",0,Research overview,One of the notable use cases of SDN in satellite networks is Network Function Virtualization (NFV). SDN has positioned itself as a key facilitator for network virtualization.
What is the primary concern of proposals aiming to improve system performance with QoS/power constraints in underlaying D2D (Device-to-Device) communications?,"['Maximizing system throughput', 'Minimizing outage probability', 'Increasing the number of admitted D2D links', 'Ensuring fairness among users']",0,Research overview,Proposals aiming to improve system performance with QoS/power constraints in underlaying D2D communications primarily focus on maximizing system throughput while maintaining minimum data rate requirements and power constraints.
What does the acronym VPN stand for?,"['Voice Packet Network', 'Virtual Private Network', 'Visual Presentation Network', 'Voice and Picture Network', 'Video Protocol Network']",1,Lexicon,VPN stands for Virtual Private Network.
What are the main criteria used to validate that a sequence of numbers is random?,"['Independence and randomness', 'Uniformity and randomness', 'Independence and uniformity', 'Uniformity and unpredictability', 'Independence and unpredictability']",2,Research publications,The main criteria used to validate that a sequence of numbers is random are independence (no one subsequence can be inferred from the others) and uniformity (the distribution of bits should be approximately equal).
When can the setting of the Privacy exception list be changed? [3GPP Release 17],"['Never', 'Only during emergency services', 'Anytime', 'Only with operator permission']",2,Standards specifications,The setting of the Privacy exception list can be changed anytime.
What does the NEF notify to the AF after determining the suitable DNAI(s)? [3GPP Release 18],"['AF Identifier', 'EAS address information', 'DNN', 'DNAI(s) or the updated DNAI information']",3,Standards specifications,"After determining the suitable DNAI(s), NEF notifies the DNAI(s) or the updated DNAI information to AF."
What is the relationship between entropy H(X) and the expected value of log(1/p(X))? Select the correct statement.,"['H(X) = E(log(1/p(X)))', 'H(X) = E(log2(1/p(X)))', 'H(X) = E(log(p(X)/1))', 'H(X) = E(log2(p(X)/1))']",0,Research publications,"The entropy of X can also be interpreted as the expected value of the random variable log(1/p(X)), where X is drawn according to the probability mass function p(x). Therefore, H(X) = E(log(1/p(X)))."
"In online charging, how are chargeable events transformed into charging events? [3GPP Release 18]","['By the CTF', 'By the OCF', 'By the CGF', 'By the CHF']",1,Standards specifications,The CTF transforms each chargeable event into a charging event and forwards these charging events to the OCF in real-time.
What is the main goal of a reflectarray?,"[""To rotate the incident wave's polarization"", 'To transmit waves with maximum power', 'To collimate waves from a feed into a pencil beam', 'To scatter waves in all directions', 'To absorb all incident waves']",2,Research publications,The main goal of a reflectarray is to collimate waves from a feed into a pencil beam.
What is the main challenge in traditional C-RAN architectures to meet the requirements of 5G?,"['High area coverage', 'High reliability', 'High capacity', 'Low energy consumption', 'Low latency']",4,Research overview,"Traditional C-RAN architectures have long latency, which is a challenge to meet the requirements of 5G."
What does TRP stand for?,"['Total Received Power', 'Total Recovery Power', 'Total Radiated Power', 'Total Reflective Power', 'Total Residual Power']",2,Lexicon,TRP stands for Total Radiated Power.
What are transverse electromagnetic (TEM) waves?,"['Waves where both the electric field and the magnetic field are perpendicular to the direction of propagation', 'Waves where both the electric field and the magnetic field are in the direction of propagation', 'Waves where the electric field is perpendicular to the direction of propagation and the magnetic field has a component in the direction of propagation', 'Waves where the electric field is in the direction of propagation and the magnetic field has a component in the direction of propagation']",0,Research publications,Transverse electromagnetic (TEM) waves are waves where both the electric field and the magnetic field are perpendicular to the direction of propagation.
What is the purpose of the PSFCH channel in NR V2X sidelink? [3GPP Release 16],"['To transmit Uplink and Downlink V2X messages', 'To transmit HARQ feedback for unicast and groupcast', 'To transmit sidelink synchronization signals', 'To transmit physical layer structure information', 'To transmit resource allocation configurations']",1,Standards overview,The PSFCH channel in NR V2X sidelink is used to transmit sidelink HARQ feedback for unicast and groupcast services. It provides feedback on the success or failure of the whole transport block and triggers for channel state information (CSI) feedback.
What is the spreading ratio in a direct-sequence system? [IEEE 802.11],"['The power level of the transmitted signal', 'The number of chips used to transmit a single bit', 'The data rate of the transmission', 'The size of the frequency band', 'The correlation function of the receiver']",1,Standards overview,The spreading ratio is the number of chips used to transmit a single bit in a direct-sequence system.
Why does an originator regularly send a BlockAckReq frame in the GCR Block Ack retransmission policy? [IEEE 802.11],"['To indicate the end of the transmission', 'To request acknowledgment from the group members', 'To synchronize the group members', 'To minimize buffering latency at the receivers']",3,Standards specifications,Regularly sending a BlockAckReq frame with the GCR Group Address subfield set to the GCR group address and the Block Ack Starting Sequence Control subfield set to the earliest A-MSDU minimizes buffering latency at receivers in the GCR group.
